priority,category,source_path,destination,clicks_16mnd,impressions_16mnd,avg_position,notes
C,BLOG_INVENTORY,/post/solgt-archambault-a31,/sold,9,123,25.06,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/skorgenes-350-fly,/en/Baater/skorgenes-350-fly,9,121,6.12,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,/Baater/swan-48,/sold,9,91,6.48,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/goldfish-29-rib-tender,/en/Baater/goldfish-29-rib-tender,8,1079,8.58,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/goldfish-32-sc-2001,/en/Baater/goldfish-32-sc-2001,8,698,7.43,Bilingual workstream — defer until NO/EN setup
B,BOAT_MATCH,/Baater/nimbus-t11,/boat/nimbus-t11,8,672,12.03,Match — direct 301 to new /boat/ page
C,JOB_POST,/post/ledig-stilling-båtmegler-trainee-juniormegler,/,8,508,28.81,Job post — redirect to home
B,BOAT_MATCH,/Baater/glastron-gs-259,/boat/glastron-gs-259,8,288,36.63,Match — direct 301 to new /boat/ page
C,BOAT_UNMATCHED_LOW,/Baater/delphia-40.3,/sold,8,236,27.49,Low-traffic unmatched — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-28-tender-#001,/sold,8,205,10.96,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,"/en/Baater/comtesse-""liberty""","/en/Baater/comtesse-""liberty""",8,136,17.54,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,/Baater/bavaria-e34-fly,/sold,8,135,13.36,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/storebro-430-biscay,/en/Baater/storebro-430-biscay,8,92,6.92,Bilingual workstream — defer until NO/EN setup
C,OTHER,/detailing,/,7,1081,60.74,Other — redirect to home
B,BOAT_MATCH,/Baater/goldfish-30-sport,/boat/goldfish-30-sport,7,530,28.2,Match — direct 301 to new /boat/ page
C,BLOG_LOW,/post/hvordan-handle-bruktbåt-tips-og-råd-til-hva-du-bør-se-etter-og-hvordan-gjøre-gode-kjøp-vinterstid,/,7,409,53.76,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/hanse-548,/en/Baater/hanse-548,7,294,19.66,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/bavaria-35-sport,/en/Baater/bavaria-35-sport,7,255,7.08,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/capelli-900-wa,/en/Baater/capelli-900-wa,7,241,9.95,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/goldfish-29-sport-for-salg,/sold,7,156,24.53,Inventory-related post — redirect to /sold
B,BOAT_MATCH,/Baater/hanse-355,/boat/hanse-355,7,149,10.65,Match — direct 301 to new /boat/ page
C,BOAT_UNMATCHED_LOW,/Baater/cormate-t-27---2015,/sold,7,143,27.47,Low-traffic unmatched — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/chris-craft-25-corsair-2008,/sold,7,132,11.11,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/jeanneau-so-49-ds,/en/Baater/jeanneau-so-49-ds,7,115,8.74,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,/Baater/timeless-34-nordic,/sold,7,76,14.34,Low-traffic unmatched — redirect to /sold
C,BLOG_LOW,/post/goldfish-23-tender-solgt,/,7,74,29.31,Low-value blog — redirect to home
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-38-supersport-#023,/sold,6,1722,10.31,Low-traffic unmatched — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-29-sport---2015,/sold,6,552,22.86,Low-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/targa-27-1-for-salg,/sold,6,368,10.01,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-arctic-blue-27-mkii,/sold,6,320,21.39,Inventory-related post — redirect to /sold
C,BLOG_LOW,/post/forhandler-for-nautibuoy-marine,/,6,292,10.6,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/goldfish-29-rib-tender---2009,/en/Baater/goldfish-29-rib-tender---2009,6,283,12.51,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/paragon-25-cabin,/en/Baater/paragon-25-cabin,6,199,9.55,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,/Baater/nimbus-230r---bensin,/sold,6,129,15.98,Low-traffic unmatched — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/nimbus-w9-t-top-mercury-300,/sold,6,123,9.87,Low-traffic unmatched — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/grand-banks-eastbay-45sx,/sold,6,101,7.26,Low-traffic unmatched — redirect to /sold
C,BLOG_CATEGORY,/blogg/page/2,/,6,95,53.81,Blog category — low traffic
C,BLOG_CATEGORY,/blogg/page/6,/,6,79,16.05,Blog category — low traffic
C,BOAT_UNMATCHED_LOW,/Baater/archambault-a-31,/sold,6,73,21.66,Low-traffic unmatched — redirect to /sold
B,SELL_LANDING,/verdivurdering,/,5,7005,14.42,Redirect to / (our /sell = /)
C,BOAT_UNMATCHED_LOW,/Baater/brig-eagle-8-hankø-edition,/sold,5,517,11.33,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/goldfish-28-tender-#064,/en/Baater/goldfish-28-tender-#064,5,393,10.71,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/goldfish-28-tender-#057,/en/Baater/goldfish-28-tender-#057,5,383,10.38,Bilingual workstream — defer until NO/EN setup
B,BOAT_MATCH,/Baater/goldfish-23-tender,/boat/goldfish-23-tender,5,352,11.31,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/nimbus-c11,/en/Baater/nimbus-c11,5,311,9.58,Bilingual workstream — defer until NO/EN setup
B,BOAT_MATCH,/Baater/hydrolift-x-32s-r,/boat/hydrolift-x-32s-r,5,299,10.01,Match — direct 301 to new /boat/ page
C,BLOG_INVENTORY,/post/solgt-scand-baltic-29,/sold,5,235,14.72,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-nimbus-35-nova-ht-1,/sold,5,234,6.17,Inventory-related post — redirect to /sold
B,BOAT_MATCH,/Baater/nordkapp-905-grand-coupe,/boat/nordkapp-905-grand-coupe,5,210,15.7,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/fairline-squadron-55,/boat/fairline-squadron-55,5,182,11.05,Match — direct 301 to new /boat/ page
C,BOAT_UNMATCHED_LOW,/Baater/beneteau-mc5,/sold,5,179,17.62,Low-traffic unmatched — redirect to /sold
C,BLOG_LOW,/post/goldfish-30-sport-oppgradere-fra-goldfish-29-sport,/,5,169,24.05,Low-value blog — redirect to home
C,BOAT_UNMATCHED_LOW,/Baater/sunseeker-manhattan-73,/sold,5,133,23.91,Low-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-aquador-26-dc,/sold,5,111,26.54,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-nimbus-33-nova,/sold,5,89,11.44,Inventory-related post — redirect to /sold
B,BOAT_MATCH,/Baater/seaside-23,/boat/seaside-23,5,84,8.87,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/hydrolift-x-32s-r,/en/Baater/hydrolift-x-32s-r,5,61,8.18,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/sargo-25,/en/Baater/sargo-25,5,39,10.08,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/princess-25m,/en/Baater/princess-25m,5,28,5.11,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/archambault-a-31-for-salg,/sold,5,14,6.64,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-nimbus-29-nova,/sold,4,464,15.85,Inventory-related post — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/boston-whaler-370-outrage,/sold,4,397,42.9,Low-traffic unmatched — redirect to /sold
B,BOAT_MATCH,/Baater/pershing-64,/boat/pershing-64,4,396,48.27,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/wolstenholme-38,/boat/wolstenholme-38,4,311,35.38,Match — direct 301 to new /boat/ page
C,BLOG_INVENTORY,/post/solgt-bayline-avanti-4085,/sold,4,230,16.4,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/candela-c-8,/en/Baater/candela-c-8,4,203,16.49,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/windy-26-kharma-for-salg,/sold,4,141,31.43,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/marex-360-cc---2022,/en/Baater/marex-360-cc---2022,4,130,9.42,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/solgt-beneteau-figaro-2,/sold,4,101,19.62,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-nimbus-300r,/sold,4,59,17.69,Inventory-related post — redirect to /sold
C,BLOG_CATEGORY,/blogg/page/4,/,4,54,12.65,Blog category — low traffic
C,BLOG_INVENTORY,/post/nimbus-320-coupé-for-salg,/sold,4,52,22.9,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/seabreacher-z-for-salg,/sold,4,49,24.14,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-grand-banks-47-eu-heritage-edition,/sold,4,44,20.32,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/fleming-58-for-salg,/sold,4,33,14.3,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-hanse-355,/sold,4,8,20.75,Inventory-related post — redirect to /sold
A,SOLD_INDEX,/sold,/sold,3,422,12.2,Direct match (page exists)
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-28-tender-#069,/sold,3,319,14.2,Low-traffic unmatched — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/viksund-290/310-st.-cruz,/sold,3,308,6.45,Low-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-goldfish-23-tender-mkiii,/sold,3,188,10.68,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/modesty-33-sc-for-salg,/sold,3,142,5.54,Inventory-related post — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-23-tender-2017,/sold,3,132,24.65,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/goldfish-29-sport,/en/Baater/goldfish-29-sport,3,116,10.61,Bilingual workstream — defer until NO/EN setup
C,BLOG_CATEGORY,/blogg/page/8,/,3,101,14.13,Blog category — low traffic
C,BOAT_UNMATCHED_LOW,/Baater/axopar-37-,/sold,3,101,21.65,Low-traffic unmatched — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/ryck-280-m/-mercury-verado-350hk,/sold,3,100,14.19,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/ibiza-881-t-special-edition,/en/Baater/ibiza-881-t-special-edition,3,82,8.74,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,/Baater/skorgenes-sonic-445-fly,/sold,3,81,5.37,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/windy-35-khamsin,/en/Baater/windy-35-khamsin,3,80,6.25,Bilingual workstream — defer until NO/EN setup
C,BLOG_LOW,/post/nytt-navn-house-of-yachts,/,3,77,13.62,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/nimbus-250-r,/en/Baater/nimbus-250-r,3,69,9.41,Bilingual workstream — defer until NO/EN setup
C,BLOG_LOW,/post/wallytender-45-available-for-daycharters-with-captain-in-oslo,/,3,60,14.82,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/nimbus-30s,/en/Baater/nimbus-30s,3,52,11.94,Bilingual workstream — defer until NO/EN setup
C,BLOG_LOW,/post/månedens-båt-itama-forty,/,3,51,15.65,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/azimut-atlantis-40-ht,/en/Baater/azimut-atlantis-40-ht,3,44,8.91,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/goldfish-29-sport-for-salg-2,/sold,3,37,30.05,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-modesty-33-sc,/sold,3,35,4.4,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-nimbus-250r,/sold,3,35,22.43,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/bavaria-44-vision,/en/Baater/bavaria-44-vision,3,34,6.56,Bilingual workstream — defer until NO/EN setup
C,BLOG_LOW,/post/ny-medarbeider-møt-jeanette,/,3,33,5.45,Low-value blog — redirect to home
C,BLOG_INVENTORY,/post/beneteau-mc6s-for-salg,/sold,3,33,12.09,Inventory-related post — redirect to /sold
C,BLOG_CATEGORY,/blogg/categories/markedsnyheter/page/2,/,3,31,17.06,Blog category — low traffic
DEFER,ENGLISH,/en/Baater/aquador-26-dc,/en/Baater/aquador-26-dc,3,30,10.13,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/solgt-chris-craft-carina-21,/sold,3,23,37.17,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/saffier-se-33-ud-for-salg,/sold,3,15,7.4,Inventory-related post — redirect to /sold
C,BLOG_LOW,/post/candela-speedboats,/,2,290,44.28,Low-value blog — redirect to home
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-29-sport---2016,/sold,2,285,14.72,Low-traffic unmatched — redirect to /sold
C,JOB_POST,/post/ledig-stilling-detailer-båtklargjører,/,2,265,54.93,Job post — redirect to home
C,BLOG_LOW,/post/solgt,/,2,220,30.97,Low-value blog — redirect to home
C,BOAT_UNMATCHED_LOW,/Baater/riva-76-perseo,/sold,2,206,15.82,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/BaaterTilSalgs,/en/BaaterTilSalgs,2,146,15.11,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,/Baater/seaside-23---2023,/sold,2,129,6.95,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/bavaria-40-cruiser,/en/Baater/bavaria-40-cruiser,2,114,13.25,Bilingual workstream — defer until NO/EN setup
C,BLOG_CATEGORY,/blogg/categories/markedsnyheter/page/3,/,2,113,56.74,Blog category — low traffic
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-30-sport-#038,/sold,2,104,14.26,Low-traffic unmatched — redirect to /sold
C,BLOG_CATEGORY,/blogg/page/7,/,2,100,13.39,Blog category — low traffic
B,BOAT_MATCH,/Baater/lagoon-560-s2,/boat/lagoon-560-s2,2,80,14.14,Match — direct 301 to new /boat/ page
C,BOAT_UNMATCHED_LOW,/Baater/beneteau-mc6s,/sold,2,80,17.68,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/beneteau-oceanis-37,/en/Baater/beneteau-oceanis-37,2,78,6.82,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,/Baater/anker-&-jensen-8mr-1914-carmen-iv,/sold,2,78,7.18,Low-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-nimbus-320-coupe,/sold,2,68,12.06,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/anytec-860-spd,/en/Baater/anytec-860-spd,2,60,11.77,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/sail-division,/en/sail-division,2,52,9.75,Bilingual workstream — defer until NO/EN setup
C,BLOG_LOW,/post/kragstad-partners-video-update-ep-3,/,2,50,17.98,Low-value blog — redirect to home
C,BLOG_INVENTORY,/post/2021-goldfish-23-tender-mkiii-for-salg,/sold,2,49,18.63,Inventory-related post — redirect to /sold
C,BLOG_LOW,/post/ny-nordkapp-airborne-7-ødelagt-hiv-og-hoy-ep-37,/,2,49,49.47,Low-value blog — redirect to home
C,BLOG_CATEGORY,/blogg/categories/markedsnyheter/page/4,/,2,44,17.14,Blog category — low traffic
C,BLOG_INVENTORY,/post/nimbus-250r-for-salg,/sold,2,33,14.55,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/nimbus-w9---2020,/en/Baater/nimbus-w9---2020,2,31,15.16,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/hanse-355,/en/Baater/hanse-355,2,30,7.47,Bilingual workstream — defer until NO/EN setup
C,BLOG_CATEGORY,/blogg/categories/månedens-båt,/,2,25,30.52,Blog category — low traffic
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-30-sport---2022-#023,/sold,2,21,21.19,Low-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/kommer-for-salg-windy-kharma-26,/sold,2,17,33.29,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-targa-27-1,/sold,2,15,13.6,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/jeanneau-sun-odyssey-519,/en/Baater/jeanneau-sun-odyssey-519,2,13,25.85,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/nidelv-725-sport,/en/Baater/nidelv-725-sport,2,10,5.5,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,/Baater/nordkapp-airborne-7,/sold,1,450,26.48,Low-traffic unmatched — redirect to /sold
C,JOB_POST,/post/ledig-stilling-content-repurposer-some-ansvarlig,/,1,400,47.35,Job post — redirect to home
C,BLOG_LOW,/post/månedens-båt-princess-f70,/,1,378,14.52,Low-value blog — redirect to home
DEFER,ENGLISH,/en/kjope-bat,/en/kjope-bat,1,334,46.28,Bilingual workstream — defer until NO/EN setup
C,BLOG_LOW,/post/høyhastighetskurs,/,1,290,40.5,Low-value blog — redirect to home
DEFER,ENGLISH,/en/blogg,/en/blogg,1,248,8.27,Bilingual workstream — defer until NO/EN setup
C,BLOG_LOW,/post/3-generasjoner-goldfish-23-tender-husbåtvisninger-og-nordkapp-test-hiv-og-hoy-ep-39,/,1,212,74.96,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/saxdor-320-gtc,/en/Baater/saxdor-320-gtc,1,194,8.84,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/goldfish-28-tender-#069,/en/Baater/goldfish-28-tender-#069,1,184,12.19,Bilingual workstream — defer until NO/EN setup
B,BOAT_MATCH,/Baater/carver-396-aft-cabin,/boat/carver-396-aft-cabin,1,176,15.68,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/nimbus250,/en/nimbus250,1,176,45.01,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/goldfish-38-supersport---#021,/en/Baater/goldfish-38-supersport---#021,1,142,17.19,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/nordkapp-airborn-7-for-salg,/sold,1,134,45.46,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/targa-27.1,/en/Baater/targa-27.1,1,129,4.31,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,/Baater/axopar-28-open-2019,/sold,1,117,9.01,Low-traffic unmatched — redirect to /sold
C,BLOG_LOW,/post/månedens-båt-vitters-18-50,/,1,109,19.61,Low-value blog — redirect to home
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-28-tender-merc-400r,/sold,1,96,20.88,Low-traffic unmatched — redirect to /sold
C,BLOG_LOW,/post/høsten-2021-hva-skjer-i-båtmarkedet,/,1,95,14.21,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/axopar-28-cabin,/en/Baater/axopar-28-cabin,1,94,33.47,Bilingual workstream — defer until NO/EN setup
C,JOB_POST,/post/ledig-stilling-båtmegler-trainee-juniormegler-1,/,1,78,55.88,Job post — redirect to home
DEFER,ENGLISH,/en/sold,/en/sold,1,77,3.29,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,"/Baater/comtesse-""liberty""",/sold,1,68,7.0,Low-traffic unmatched — redirect to /sold
C,BLOG_CATEGORY,/blogg/categories/markedsnyheter/page/5,/,1,68,12.26,Blog category — low traffic
C,BLOG_INVENTORY,/post/solgt-nidelv-725-sport,/sold,1,66,18.02,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/2022-goldfish-30-sport-for-salg,/sold,1,65,33.92,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-nimbus-300r-1,/sold,1,63,15.78,Inventory-related post — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/beneteau-gran-turismo-38,/sold,1,54,20.87,Low-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-marex-370-acc,/sold,1,50,22.24,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/nordkapp-760-noblesse,/en/Baater/nordkapp-760-noblesse,1,49,36.98,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/windy-7500,/en/Baater/windy-7500,1,47,7.04,Bilingual workstream — defer until NO/EN setup
C,BLOG_LOW,/post/båter-ønskes-kjøpt,/,1,46,36.83,Low-value blog — redirect to home
B,BOAT_MATCH,/Baater/grandezza-27s,/boat/grandezza-27s,1,44,5.07,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/askeladden-c83,/en/Baater/askeladden-c83,1,42,8.14,Bilingual workstream — defer until NO/EN setup
B,BOAT_MATCH,/Baater/beneteau-oceanis-37,/boat/beneteau-oceanis-37,1,40,4.8,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/saxdor-320-gtc,/boat/saxdor-320-gtc,1,37,7.35,Match — direct 301 to new /boat/ page
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-32-sc-2001,/sold,1,36,6.36,Low-traffic unmatched — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/bertram-37-convertible,/sold,1,34,24.62,Low-traffic unmatched — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/cranchi-47-mediterranee,/sold,1,31,7.32,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/grandezza-27s,/en/Baater/grandezza-27s,1,30,9.67,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/axopar-37-sc-for-salg,/sold,1,27,48.63,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/baltic-kragerø-34,/en/Baater/baltic-kragerø-34,1,25,12.0,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/solgt-capelli-tempest-1000,/sold,1,25,26.48,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-nimbus-320-coupé,/sold,1,24,20.71,Inventory-related post — redirect to /sold
C,BLOG_LOW,/post/kragstad-partners-video-update-ep-2,/,1,24,29.75,Low-value blog — redirect to home
C,BLOG_LOW,/post/er-dette-norges-råeste-solskinnsbåt-axopar-37-suntop-walkthrough,/,1,23,9.91,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/nordkapp-905-grand-coupe,/en/Baater/nordkapp-905-grand-coupe,1,23,31.22,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/nimbus-230-r,/en/Baater/nimbus-230-r,1,21,5.48,Bilingual workstream — defer until NO/EN setup
B,BOAT_MATCH,/Baater/goldfish-29-rib-tender,/boat/goldfish-29-rib-tender,1,21,7.1,Match — direct 301 to new /boat/ page
C,JOB_POST,/post/skipper-til-dagcharter-søkes-til-45-fots-dayboat,/,1,21,17.19,Job post — redirect to home
C,BLOG_CATEGORY,/blogg/categories/markedsnyheter,/,1,20,16.95,Blog category — low traffic
C,BLOG_INVENTORY,/post/dufour-385-gl-for-salg,/sold,1,19,25.42,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-nimbus-280-coupé,/sold,1,18,28.22,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-pershing-64,/sold,1,15,10.13,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/nimbus-320-coupè---2003,/en/Baater/nimbus-320-coupè---2003,1,13,9.08,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/bavaria-37-ac,/en/Baater/bavaria-37-ac,1,13,13.08,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/Jeanneau-SO-49-DS,/en/Baater/Jeanneau-SO-49-DS,1,11,4.36,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/solgt-axopar-37-sports-cabin,/sold,1,10,42.2,Inventory-related post — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/Bavaria-37-Cruiser---2006,/sold,1,9,4.44,Low-traffic unmatched — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/Chris-Craft-Carina-21,/sold,1,8,5.62,Low-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/azimut-atlantis-40-ht-for-salg,/sold,1,6,7.5,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/arctic-blue-27-mkii,/en/Baater/arctic-blue-27-mkii,1,4,5.75,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,/Baater/Bavaria-37-AC,/sold,1,4,7.25,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/bavaria-360-sport-open,/en/Baater/bavaria-360-sport-open,1,4,12.75,Bilingual workstream — defer until NO/EN setup
C,JOB_POST,/post/ledig-stilling-innholdsprodusent-some-ansvarlig,/,1,1,2.0,Job post — redirect to home
C,BLOG_LOW,/post/vi-spiller-inn-en-reklamevideo-hiv-og-hoy-ep-35,/,0,2853,61.75,Low-value blog — redirect to home
C,JOB_POST,/post/ledig-stilling-youtube-ansvarlig-innholdsprodusent,/,0,861,84.4,Job post — redirect to home
DEFER,ENGLISH,/en/selge-bat,/en/selge-bat,0,554,51.47,Bilingual workstream — defer until NO/EN setup
C,BLOG_CATEGORY,/blogg/categories/hiv-og-hoy-episoder,/,0,447,49.65,Blog category — low traffic
C,BLOG_INVENTORY,/post/solgt-cormate-23-super-utility,/sold,0,248,48.73,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-nordkapp-enduro-705,/sold,0,204,50.66,Inventory-related post — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/pardo-p43,/sold,0,203,17.44,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/goldfish-28-bullet-#024,/en/Baater/goldfish-28-bullet-#024,0,197,14.1,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/goldfish-38-supersport-for-salg,/sold,0,161,25.12,Inventory-related post — redirect to /sold
C,BLOG_LOW,/post/helt-nye-candela-c-8-er-lansert,/,0,146,45.29,Low-value blog — redirect to home
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-28-tender-#057,/sold,0,145,9.56,Low-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/kommer-for-salg-goldfish-28-tender,/sold,0,142,32.57,Inventory-related post — redirect to /sold
C,OTHER,/members,/,0,141,2.84,Other — redirect to home
C,BOAT_UNMATCHED_LOW,/Baater/goldfish-38-supersport---#021,/sold,0,135,12.82,Low-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-goldfish-28-tender,/sold,0,105,31.43,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/beneteau-swift-trawler-34,/en/Baater/beneteau-swift-trawler-34,0,95,31.67,Bilingual workstream — defer until NO/EN setup
