wix_title,wix_url,wix_merke,wix_modell,wix_year,wix_updated,orig_match_status,new_match_type,new_candidates
Askeladden C83,askeladden-c83,Askeladden,C83,2021,2025-07-09,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=7937231295 name=""Askeladden C83"" created=2023-06-29 ||| CO_EXACT id=106660960482 name=""Askeladden c83"" created=2025-02-27 ||| CO_EXACT id=251034253549 name=""Askeladden C83"" created=2025-10-06 ||| CO_EXACT id=266635496647 name=""Askeladden C83"" created=2025-10-21 ||| CO_EXACT id=292329727210 name=""Askeladden C83"" created=2025-11-06 ||| BO id=351443280105 name=""Askeladden C83"" path=askeladden-c83 year=2021 ||| BO id=351475308733 name=""Askeladden c83"" path=askeladden-c83-2 year=2021 ||| BO id=351480981733 name=""Askeladden C83"" path=askeladden-c83-3 year=2020"
Goldfish 30 Sport - 2022 #023,goldfish-30-sport---2022-%23023,Goldfish,30 Sport,2022,2024-05-30,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=10378409207 name=""Goldfish 30 Sport"" created=2024-03-01 ||| CO_LOOSE id=10727408600 name=""Goldfish 30 Sport"" created=2024-03-20 ||| CO_LOOSE id=205710877882 name=""Goldfish 30 Sport"" created=2025-08-04"
Goldfish 23 Tender mkIII,goldfish-23-tender-mkiii,Goldifsh,23 Tender mkIII,2021,2023-07-15,NO_MATCH_IN_HUBSPOT,none,
Goldfish 28 Tender #069,goldfish-28-tender-%23069,Goldfish,28 Tender,2023,2025-07-28,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6950960827 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6951144380 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6950987196 name=""Goldfish 28 Tender"" created=2023-02-01"
Nimbus 300R,nimbus-300r,Nimbus,300R,2006,2020-02-03,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6951010289 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6950983399 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6951018974 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6951018711 name=""Nimbus 300R "" created=2023-02-01 ||| CO_EXACT id=6949571542 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6950976464 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949571545 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949571537 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949587691 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949587695 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=13179203558 name=""Nimbus 300R"" created=2024-08-05 ||| BO id=351443213549 name=""Nimbus 300R"" path=nimbus-300r-2 year=None ||| BO id=351443213554 name=""Nimbus 300R"" path=nimbus-300r-3 year=None ||| BO id=351443213556 name=""Nimbus 300R"" path=nimbus-300r year=None"
Goldfish 30 Sport - 2021 #009,goldfish-30-sport---2021-%23009,Goldfish,30 Sport,2021,2025-06-24,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=10378409207 name=""Goldfish 30 Sport"" created=2024-03-01 ||| CO_LOOSE id=10727408600 name=""Goldfish 30 Sport"" created=2024-03-20 ||| CO_LOOSE id=205710877882 name=""Goldfish 30 Sport"" created=2025-08-04"
Goldfish 28 Tender #60,goldfish-28-tender-%2360,Goldfish,28 Tender,2022,2025-07-04,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6950960827 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6951144380 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6950987196 name=""Goldfish 28 Tender"" created=2023-02-01"
Targa 44 Fly,targa-44-fly,Targa,44 Fly,2012,2024-01-26,SIGNATURE_MATCH_ONLY,none,
Nimbus 320 Coupè - 2003,nimbus-320-coup%C3%A8---2003,Nimbus,320 Coupé,2003,2020-03-14,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6949536717 name=""Nimbus 320 Coupé"" created=2023-02-01 ||| CO_LOOSE id=6950983397 name=""Nimbus 320 Coupé"" created=2023-02-01 ||| CO_LOOSE id=6949571538 name=""Nimbus 320 Coupé"" created=2023-02-01"
Nordkapp 720 Noblesse,nordkapp-720-noblesse,Nordkapp,720 Noblesse,2022,2022-07-05,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6951010288 name=""Nordkapp 720 Noblesse"" created=2023-02-01 ||| BO id=351443310789 name=""Nordkapp 720 Noblesse"" path=nordkapp-720-noblesse year=None"
Paragon 25 Cabin,paragon-25-cabin,Paragon,25 Cabin,2009,2025-10-30,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=179832078576 name=""Paragon 25 Cabin"" created=2025-06-26 ||| BO id=351481058520 name=""Paragon 25 Cabin"" path=paragon-25-cabin year=2009"
Goldfish 28 Tender,goldfish-28-tender,Goldfish,28 Tender,2011,2020-02-03,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950960827 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_EXACT id=6951144380 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_EXACT id=6950987196 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_EXACT id=11919865825 name=""Goldfish 28 Tender"" created=2024-05-21 ||| CO_EXACT id=12447550651 name=""Goldfish 28 Tender"" created=2024-06-20 ||| CO_EXACT id=105393255638 name=""Goldfish 28 Tender "" created=2025-02-25 ||| CO_EXACT id=141646604488 name=""Goldfish 28 Tender"" created=2025-04-29 ||| CO_EXACT id=240103406787 name=""Goldfish 28 tender"" created=2025-09-22 ||| CO_LOOSE id=127193235647 name=""Goldfish 28 Tender 2017"" created=2025-04-07 ||| BO id=351443141853 name=""Goldfish 28 Tender"" path=goldfish-28-tender year=None ||| BO id=351482888432 name=""Goldfish 28 Tender"" path=goldfish-28-tender-2 year=None ||| BO id=351482888440 name=""Goldfish 28 Tender"" path=goldfish-28-tender-3 year="
Axopar 28 Cabin,axopar-28-cabin,Axopar,28 Cabin,2022,2024-01-26,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=146778873028 name=""Axopar 28 Cabin"" created=2025-05-08 ||| CO_EXACT id=152376979682 name=""Axopar 28 cabin"" created=2025-05-16 ||| CO_EXACT id=161780077807 name=""Axopar 28 Cabin"" created=2025-05-27 ||| CO_EXACT id=178803005642 name=""Axopar 28 Cabin"" created=2025-06-25 ||| CO_EXACT id=220533154026 name=""Axopar 28 Cabin"" created=2025-08-20 ||| BO id=351390252280 name=""Axopar 28 Cabin"" path=axopar-28-cabin year=2022 ||| BO id=351443214550 name=""Axopar 28 cabin"" path=axopar-28-cabin-2 year=2021 ||| BO id=351484720343 name=""Axopar 28 Cabin"" path=axopar-28-cabin-3 year=2018"
Goldfish 28 Bullet #024,goldfish-28-bullet-%23024,Goldfish,28 Bullet,2021,2025-09-17,MULTIPLE_SIG_CANDIDATES,company_exact,"CO_EXACT id=226496567514 name=""Goldfish 28 Bullet #024"" created=2025-09-02 ||| CO_LOOSE id=107115276479 name=""Goldfish 28 Bullet"" created=2025-02-28 ||| CO_LOOSE id=116472478919 name=""Goldfish 28 Bullet"" created=2025-03-18 ||| CO_LOOSE id=175243087045 name=""Goldfish 28 Bullet"" created=2025-06-17 ||| BO id=351443263688 name=""Goldfish 28 Bullet #024"" path=goldfish-28-bullet-024 year=2021"
Nimbus 230R,nimbus-230r,Nimbus,230R,2006,2019-07-18,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6949587689 name=""Nimbus 230R"" created=2023-02-01 ||| CO_EXACT id=6950987194 name=""Nimbus 230R"" created=2023-02-01 ||| CO_EXACT id=112789575926 name=""Nimbus 230R"" created=2025-03-10 ||| CO_EXACT id=130786492650 name=""Nimbus 230R"" created=2025-04-16 ||| CO_EXACT id=207996927192 name=""Nimbus 230R"" created=2025-08-04 ||| CO_EXACT id=222182554828 name=""Nimbus 230R"" created=2025-08-25 ||| BO id=351388463331 name=""Nimbus 230R"" path=nimbus-230r year=None ||| BO id=351482888419 name=""Nimbus 230R"" path=nimbus-230r-2 year=None ||| BO id=351443229934 name=""Nimbus 230R"" path=nimbus-230r-3 year=2007"
Bavaria E34 Fly,bavaria-e34-fly,Bavaria,E34 Fly,2019,2024-01-26,MULTIPLE_SIG_CANDIDATES,none,
Nimbus 230R - 2007,nimbus-230r---2007,Nimbus,230R,2007,2025-09-08,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6949587689 name=""Nimbus 230R"" created=2023-02-01 ||| CO_LOOSE id=6950987194 name=""Nimbus 230R"" created=2023-02-01 ||| CO_LOOSE id=112789575926 name=""Nimbus 230R"" created=2025-03-10"
Paragon 31 Fly,paragon-31-fly,Paragon,31 Fly,2014,2025-06-18,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=12679376576 name=""Paragon 31 Fly"" created=2024-07-04 ||| CO_EXACT id=135209578716 name=""Paragon 31 Fly"" created=2025-04-22 ||| CO_EXACT id=175288829151 name=""Paragon 31 fly"" created=2025-06-18 ||| CO_EXACT id=179934781660 name=""Paragon 31 Fly"" created=2025-06-26 ||| CO_EXACT id=225250534620 name=""Paragon 31 Fly"" created=2025-08-27 ||| CO_EXACT id=270950171839 name=""Paragon 31 Fly"" created=2025-10-24 ||| BO id=351479119064 name=""Paragon 31 Fly"" path=paragon-31-fly year=2014 ||| BO id=351443214527 name=""Paragon 31 Fly"" path=paragon-31-fly-2 year=2011 ||| BO id=351443089646 name=""Paragon 31 fly"" path=paragon-31-fly-3 year=2009"
Goldfish 29 Sport - 2020,goldfish-29-sport---2020,Goldfish,29 Sport,2020,2021-05-18,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6949536716 name=""Goldfish 29 Sport"" created=2023-02-01 ||| CO_LOOSE id=6951005935 name=""Goldfish 29 Sport"" created=2023-02-01 ||| CO_LOOSE id=6951018971 name=""Goldfish 29 Sport"" created=2023-02-01"
Goldfish 30 Sport #038,goldfish-30-sport-%23038,Goldfish,30 Sport,2023,2025-02-28,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=10378409207 name=""Goldfish 30 Sport"" created=2024-03-01 ||| CO_LOOSE id=10727408600 name=""Goldfish 30 Sport"" created=2024-03-20 ||| CO_LOOSE id=205710877882 name=""Goldfish 30 Sport"" created=2025-08-04"
Brig Eagle 8 Hankø Edition,brig-eagle-8-hank%C3%B8-edition,Brig,E8H,2023,2024-06-06,MULTIPLE_SIG_CANDIDATES,none,
Goldfish X12 Endurance,goldfish-x12-endurance,Goldfish,X12 Endurance,2019,2020-09-29,MULTIPLE_SIG_CANDIDATES,none,
Nimbus 320 Coupé,nimbus-320-coup%C3%A9,Nimbus,320 Coupé,2003,2019-05-15,MULTIPLE_SIG_CANDIDATES,company_exact,"CO_EXACT id=6949536717 name=""Nimbus 320 Coupé"" created=2023-02-01 ||| CO_EXACT id=6950983397 name=""Nimbus 320 Coupé"" created=2023-02-01 ||| CO_EXACT id=6949571538 name=""Nimbus 320 Coupé"" created=2023-02-01 ||| BO id=351443213555 name=""Nimbus 320 Coupé"" path=nimbus-320-coupe-2 year=None ||| BO id=351443213558 name=""Nimbus 320 Coupé"" path=nimbus-320-coupe year=None ||| BO id=351482888422 name=""Nimbus 320 Coupé"" path=nimbus-320-coupe-4 year=None"
Bavaria 330 Sport HT,bavaria-330-sport-ht,Bavaria,330 Sport HT,2016,2024-01-26,MULTIPLE_SIG_CANDIDATES,none,
Bavaria 37 AC,bavaria-37-ac,Bavaria,37 AC,2000,2019-05-15,MULTIPLE_SIG_CANDIDATES,none,
Askeladden C83 Cruiser,askeladden-c83-cruiser,Askeladden,C83 Cruiser,2021,2024-01-26,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=176440389865 name=""Askeladden C83 Cruiser"" created=2025-06-20 ||| CO_EXACT id=348292981981 name=""Askeladden C83 Cruiser "" created=2026-01-05 ||| BO id=351480934640 name=""Askeladden C83 Cruiser"" path=askeladden-c83-cruiser year=2019"
Bavaria 35 Sport,bavaria-35-sport,Bavaria,35 Sport,2005,2025-09-11,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=168381073652 name=""Bavaria 35 Sport"" created=2025-06-06 ||| CO_EXACT id=173640130807 name=""Bavaria 35 Sport"" created=2025-06-13 ||| BO id=350048534720 name=""Bavaria 35 Sport"" path=bavaria-35-sport year=2007 ||| BO id=351446910176 name=""Bavaria 35 Sport"" path=bavaria-35-sport-2 year=2005"
Nimbus 34 Nova,nimbus-34-nova,Nimbus,34 Nova,2017,2020-09-01,SIGNATURE_MATCH_ONLY,none,
Fairline Squadron 55,fairline-squadron-55,Fairline,Squadron 55,2002,2025-12-17,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=13793421813 name=""Fairline Squadron 55"" created=2024-09-07 ||| BO id=351484704998 name=""Fairline Squadron 55"" path=fairline-squadron-55 year=2002"
Goldfish 28 Tender #064,goldfish-28-tender-%23064,Goldfish,28 Tender,2022,2025-11-11,MULTIPLE_SIG_CANDIDATES,company_exact,"CO_EXACT id=217555123389 name=""Goldfish 28 Tender #064"" created=2025-08-15 ||| CO_LOOSE id=6950960827 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6951144380 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6950987196 name=""Goldfish 28 Tender"" created=2023-02-01 ||| BO id=351419699407 name=""Goldfish 28 Tender #064"" path=goldfish-28-tender-064 year=2022"
Nimbus W9 T-Top Mercury 300,nimbus-w9-t-top-mercury-300,Nimbus,W9 T-Top,2018,2025-10-02,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=11366389752 name=""Nimbus W9 T-Top"" created=2024-04-24 ||| CO_LOOSE id=130926451950 name=""Nimbus W9 t-top"" created=2025-04-16 ||| CO_LOOSE id=11366389752 name=""Nimbus W9 T-Top"" created=2024-04-24"
Nimbus 230R - Bensin,nimbus-230r---bensin,Nimbus,230R,2005,2025-07-23,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6949587689 name=""Nimbus 230R"" created=2023-02-01 ||| CO_LOOSE id=6950987194 name=""Nimbus 230R"" created=2023-02-01 ||| CO_LOOSE id=112789575926 name=""Nimbus 230R"" created=2025-03-10"
Windy 37 Grand Mistral,windy-37-grand-mistral,Windy,37 Grand Mistral,2008,2025-03-27,MULTIPLE_SIG_CANDIDATES,boat_name,"BO id=199292475598 name=""Windy 37 Grand Mistral"" path=23015-windy-37-grand-mistral year=2008"
Scand Baltic 29,scand-baltic-29,Scand,Baltic 29,2005,2025-06-28,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950973117 name=""Scand Baltic 29"" created=2023-02-01 ||| BO id=351414280421 name=""Scand Baltic 29"" path=scand-baltic-29 year=None"
Nimbus 305 Drophead,nimbus-305-drophead,Nimbus,305 Drophead,2019,2023-04-16,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950976457 name=""Nimbus 305 Drophead"" created=2023-02-01 ||| BO id=351414280417 name=""Nimbus 305 Drophead"" path=nimbus-305-drophead year=None"
Beneteau MC5,beneteau-mc5,Beneteau,Monte Carlo 5,2015,2023-07-15,MULTIPLE_SIG_CANDIDATES,none,
Goldfish 38 Sport,goldfish-38-sport,Goldfish,30 Sport,2023,2025-03-27,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=10378409207 name=""Goldfish 30 Sport"" created=2024-03-01 ||| CO_LOOSE id=10727408600 name=""Goldfish 30 Sport"" created=2024-03-20 ||| CO_LOOSE id=205710877882 name=""Goldfish 30 Sport"" created=2025-08-04"
Nimbus T11,nimbus-t11,Nimbus,T11,2023,2025-03-12,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=12272273140 name=""Nimbus T11"" created=2024-06-08 ||| BO id=351456244950 name=""Nimbus T11"" path=nimbus-t11 year=2023"
Axopar 25 Cross Bow,axopar-25-cross-bow,Axopar,25 Cross Bow,2023,2025-06-11,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=107658613978 name=""Axopar 25 Cross Bow"" created=2025-02-28 ||| BO id=351475308730 name=""Axopar 25 Cross Bow"" path=axopar-25-cross-bow year=None"
Ibiza 811 T Special Edition,ibiza-881-t-special-edition,Ibiza,811 T Special Edition,2019,2025-12-17,MULTIPLE_SIG_CANDIDATES,none,
Beneteau Gran Turismo 38,beneteau-gran-turismo-38,Beneteau,Gran Turismo 38,2012,2024-08-30,MULTIPLE_SIG_CANDIDATES,none,
Nimbus 230R,nimbus-230r,Nimbus,230R,2007,2025-06-11,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6949587689 name=""Nimbus 230R"" created=2023-02-01 ||| CO_EXACT id=6950987194 name=""Nimbus 230R"" created=2023-02-01 ||| CO_EXACT id=112789575926 name=""Nimbus 230R"" created=2025-03-10 ||| CO_EXACT id=130786492650 name=""Nimbus 230R"" created=2025-04-16 ||| CO_EXACT id=207996927192 name=""Nimbus 230R"" created=2025-08-04 ||| CO_EXACT id=222182554828 name=""Nimbus 230R"" created=2025-08-25 ||| BO id=351388463331 name=""Nimbus 230R"" path=nimbus-230r year=None ||| BO id=351482888419 name=""Nimbus 230R"" path=nimbus-230r-2 year=None ||| BO id=351443229934 name=""Nimbus 230R"" path=nimbus-230r-3 year=2007"
Flipper 760 DC,flipper-760-dc,Flipper,760 DC,2017,2020-02-03,SIGNATURE_MATCH_ONLY,none,
Elan Power 35 HT,elan-power-35-ht,Elan,Power 35 HT,2006,2025-10-02,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=172782715087 name=""Elan Power 35 HT"" created=2025-06-13 ||| BO id=351446910173 name=""Elan Power 35 HT"" path=elan-power-35-ht year=2006"
Axopar 28 Open 2019,axopar-28-open-2019,Axopar,28 Open,2019,2025-06-11,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6951010286 name=""Axopar 28 Open"" created=2023-02-01 ||| CO_LOOSE id=12502061552 name=""Axopar 28 Open"" created=2024-06-24 ||| CO_LOOSE id=152330404058 name=""Axopar 28 open"" created=2025-05-16"
Nimbus W9 T-Top,nimbus-w9-t-top,Nimbus,W9,2020,2025-06-11,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=11366389752 name=""Nimbus W9 T-Top"" created=2024-04-24 ||| CO_EXACT id=130926451950 name=""Nimbus W9 t-top"" created=2025-04-16 ||| CO_LOOSE id=236497644790 name=""Nimbus W9"" created=2025-09-16 ||| CO_LOOSE id=236497644790 name=""Nimbus W9"" created=2025-09-16 ||| BO id=351481042113 name=""Nimbus W9 T-Top"" path=nimbus-w9-t-top year=2020 ||| BO id=351443293406 name=""Nimbus W9 t-top"" path=nimbus-w9-t-top-2 year=2018"
Axopar 37 Sports Cabin,axopar-37-sports-cabin,Axopar,37 Sports Cabin,2018,2020-05-21,MULTIPLE_SIG_CANDIDATES,none,
Nimbus 300R,nimbus-300r,Nimbus,300R,2005,2019-05-15,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6951010289 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6950983399 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6951018974 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6951018711 name=""Nimbus 300R "" created=2023-02-01 ||| CO_EXACT id=6949571542 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6950976464 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949571545 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949571537 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949587691 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949587695 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=13179203558 name=""Nimbus 300R"" created=2024-08-05 ||| BO id=351443213549 name=""Nimbus 300R"" path=nimbus-300r-2 year=None ||| BO id=351443213554 name=""Nimbus 300R"" path=nimbus-300r-3 year=None ||| BO id=351443213556 name=""Nimbus 300R"" path=nimbus-300r year=None"
Nimbus 300R,nimbus-300r,Nimbus,300R,2006,2022-03-02,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6951010289 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6950983399 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6951018974 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6951018711 name=""Nimbus 300R "" created=2023-02-01 ||| CO_EXACT id=6949571542 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6950976464 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949571545 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949571537 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949587691 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949587695 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=13179203558 name=""Nimbus 300R"" created=2024-08-05 ||| BO id=351443213549 name=""Nimbus 300R"" path=nimbus-300r-2 year=None ||| BO id=351443213554 name=""Nimbus 300R"" path=nimbus-300r-3 year=None ||| BO id=351443213556 name=""Nimbus 300R"" path=nimbus-300r year=None"
Goldfish 28 RIB,goldfish-28-rib,Goldfish,28 RIB,2004,2021-05-06,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6951015651 name=""Goldfish 28 RIB"" created=2023-02-01 ||| BO id=351443310790 name=""Goldfish 28 RIB"" path=goldfish-28-rib year=None"
Nimbus C11,nimbus-c11,Nimbus,C11,2021,2023-05-30,MULTIPLE_SIG_CANDIDATES,none,
Goldfish 30 Sport - 2022,goldfish-30-sport---2022,Goldfish,30 Sport,2022,2024-04-10,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=10378409207 name=""Goldfish 30 Sport"" created=2024-03-01 ||| CO_LOOSE id=10727408600 name=""Goldfish 30 Sport"" created=2024-03-20 ||| CO_LOOSE id=205710877882 name=""Goldfish 30 Sport"" created=2025-08-04"
Windy 28 Ghibli KAD 300,windy-28-ghibli-kad-300,Windy,28 Ghibli,2004,2025-08-08,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6950952419 name=""Windy 28 Ghibli"" created=2023-02-01 ||| CO_LOOSE id=11487537856 name=""Windy 28 Ghibli"" created=2024-05-01 ||| CO_LOOSE id=13565988841 name=""Windy 28 Ghibli"" created=2024-08-29"
Nordkapp Grand Coupe 905 - 2x300HK,nordkapp-grand-coupe-905---2x300hk,Nordkapp,Grand Coupe 905,2020,2025-10-02,MULTIPLE_SIG_CANDIDATES,none,
Goldfish 38 SuperSport #023,goldfish-38-supersport-%23023,Goldfish,38 SuperSport,2019,2025-05-04,MULTIPLE_SIG_CANDIDATES,company_exact,"CO_EXACT id=124167129337 name=""Goldfish 38 Supersport #023"" created=2025-04-01 ||| CO_LOOSE id=127251357901 name=""Goldfish 38 Supersport"" created=2025-04-07 ||| CO_LOOSE id=127251357901 name=""Goldfish 38 Supersport"" created=2025-04-07 ||| BO id=351479077102 name=""Goldfish 38 Supersport #023"" path=goldfish-38-supersport-023 year=2019"
